Step1Channel1 2017-12-18-4Amplification-and-Melt-Carve
Data to qPCR SW,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12
1,0.1011673,0.05865398,0.05433059,0.04381035,0.1073642,0.09295288,0.09079118,0.0587981,0.07018302,0.08012682,0.09612336,0.03141663,0.0788298,0.07609165,0.08834126,0.05188068,0.06275246,0.09982689,0.06708021,0.06621466,0.0754472,0.1207444,0.06809001,0.05150029,0.07429314,0.08049625,0.06001154,0.05712637,0.08107328,0.07919792,0.06217542,0.08179457,0.112186,0.05948599,0.05890846,0.04735778,0.1110309,0.07825585,0.06526133,0.05399942,0.0760901,0.0752238,0.1020791,0.03421889,0.09067283,0.07912215,0.08951776,0.05414381,0.07013999,0.1017463,0.08240727,0.04574975,0.07879925,0.136672,0.07403666,0.06119209,0.07389234,0.07374801,0.06306826,0.05614086,0.08471641,0.07894357,0.06148073,0.1023236,0.3148469,0.08853264,0.15829,0.2361352,0.1220393,0.144714,0.09069902,0.07120162,0.2551993,0.1075968,0.1109185,0.1312825,0.1013865,0.3259676,0.08766609,0.05704795,0.1486135,0.2476892,0.06181398,0.09199885,0.08723281,0.3121028,0.1406701,0.08997689,0.11684,0.08087811,0.06224726,0.07437897,0.08708839,0.1070191,0.08087811,0.1009532
2,0.103283,0.06130157,0.05534573,0.04474143,0.1073504,0.07757118,0.07045323,0.05854154,0.07161534,0.08163858,0.09732714,0.03195816,0.07960488,0.07742591,0.08904707,0.05447414,0.06396279,0.1027766,0.06861462,0.06701555,0.0764646,0.1216747,0.06963222,0.05189708,0.0760285,0.08213403,0.06032854,0.05727577,0.08111644,0.07980811,0.06207298,0.08184329,0.1138412,0.06179122,0.05961035,0.04768828,0.1110788,0.07865658,0.06498982,0.0539401,0.07385868,0.07603955,0.101483,0.03445769,0.09275952,0.07938354,0.08970631,0.05364932,0.06979787,0.1032427,0.08244874,0.04536862,0.07881343,0.1393049,0.07299694,0.06121856,0.07459648,0.07474189,0.06281809,0.05554748,0.08462992,0.07910426,0.06150938,0.1013523,0.313046,0.08969132,0.1607455,0.2328189,0.1217239,0.1432731,0.08925451,0.07134537,0.2539313,0.1092021,0.1110949,0.1306057,0.1014851,0.3233838,0.08765288,0.0570763,0.1215253,0.2545481,0.06258187,0.09329064,0.08761461,0.3137826,0.1381167,0.0897977,0.105807,0.08121089,0.06243633,0.07538932,0.08761461,0.1068258,0.08121089,0.1008587
3,0.1137593,0.06082761,0.05541746,0.04445094,0.106887,0.07574207,0.08232198,0.06112005,0.07135546,0.08159088,0.096944,0.03172978,0.07983623,0.07691183,0.08875567,0.05834186,0.06378932,0.1027067,0.06876372,0.06700805,0.07681053,0.1212875,0.07022677,0.05149963,0.07622531,0.076079,0.06013168,0.05705925,0.0809071,0.07944404,0.06203365,0.08178493,0.114315,0.06162178,0.05971897,0.047863,0.1109485,0.0786007,0.0654274,0.05401054,0.07450234,0.07596605,0.1012881,0.03439695,0.09250586,0.07933255,0.0898712,0.05386417,0.06950542,0.103307,0.08194322,0.04550776,0.07872403,0.1390108,0.07272461,0.06160375,0.07448054,0.07491952,0.06248171,0.05575066,0.08443078,0.07901668,0.06160375,0.1018437,0.3098097,0.08945827,0.158858,0.2306003,0.1215227,0.1424597,0.08916545,0.07144949,0.2510981,0.1086384,0.1112738,0.1298682,0.1013177,0.3171303,0.08726208,0.0568082,0.1219441,0.2567706,0.06221637,0.09266579,0.08827405,0.314888,0.1379007,0.0907627,0.109208,0.08315034,0.06265554,0.07524521,0.0872493,0.1061338,0.08110087,0.1310204
4,0.1191946,0.06084656,0.05629042,0.0446796,0.1072898,0.07642563,0.08700764,0.06246326,0.07172251,0.08186361,0.09744268,0.031893,0.08039389,0.0765726,0.08891828,0.05335097,0.06445916,0.1033113,0.06916851,0.06666667,0.07696836,0.1221486,0.07034584,0.0522443,0.07667402,0.07682119,0.06004415,0.05665931,0.08123621,0.0799117,0.06225166,0.08167771,0.1139744,0.0614048,0.05934325,0.0474157,0.1108821,0.07804447,0.06508614,0.05374761,0.07554116,0.0753939,0.1005743,0.03386835,0.09232808,0.07892799,0.08967751,0.05330585,0.06946284,0.1027226,0.08182487,0.04473878,0.0785872,0.1384842,0.07284768,0.06077999,0.07446652,0.07446652,0.06254599,0.05504047,0.08432671,0.0785872,0.06151582,0.1011038,0.3092328,0.08923575,0.157856,0.228096,0.1214843,0.1416581,0.08894125,0.07141805,0.2504786,0.1080842,0.1111766,0.130025,0.1018996,0.3158592,0.08732145,0.05713444,0.1211317,0.2578839,0.06292367,0.09239611,0.08826996,0.3156499,0.1373416,0.08959623,0.1119953,0.08311229,0.06262894,0.07486001,0.08856469,0.1044798,0.08149131,0.1307103
5,0.1221532,0.06092872,0.05634428,0.04495711,0.1076605,0.07394262,0.0862171,0.06270334,0.07187223,0.08207631,0.09701272,0.03194321,0.08074534,0.07690033,0.08873115,0.05279503,0.06419168,0.1032392,0.06877681,0.06685401,0.0770596,0.1221713,0.07010797,0.05132377,0.07661588,0.07720751,0.05960657,0.05664843,0.07986984,0.07972194,0.06005029,0.08149682,0.1140234,0.06115801,0.05923294,0.04709018,0.1101733,0.07789131,0.0645639,0.05345772,0.07581815,0.07478158,0.09965941,0.03346661,0.09314379,0.07848363,0.08914556,0.05316156,0.06928201,0.1025907,0.08156921,0.04470762,0.07875647,0.1381199,0.07283494,0.06084382,0.0746114,0.07446336,0.06188009,0.05477424,0.08452998,0.0784604,0.0611399,0.1009623,0.3088431,0.0893201,0.1577544,0.22767,0.1219079,0.1417568,0.08902385,0.07139683,0.2498889,0.107984,0.1109465,0.1299067,0.1022071,0.3159532,0.08724634,0.05702859,0.1215175,0.2602253,0.06327801,0.09232365,0.08817428,0.3162419,0.1379668,0.08935981,0.1123296,0.08358032,0.06283344,0.07498518,0.08891524,0.1058091,0.08224659,0.1298162
6,0.1242199,0.06121843,0.05661218,0.04517088,0.1080238,0.07652303,0.08945023,0.06225855,0.07251114,0.08261516,0.09791976,0.0320951,0.08127786,0.07726597,0.08930163,0.05289748,0.06389301,0.1031204,0.06879643,0.06671619,0.07726597,0.1216939,0.06983655,0.05185736,0.07711738,0.07667162,0.05928678,0.05676077,0.08023774,0.0794948,0.05988113,0.08127786,0.1145833,0.06145833,0.059375,0.04717262,0.1110119,0.07827381,0.06532738,0.05386905,0.07708333,0.075,0.1,0.03363095,0.09375,0.07857143,0.08988095,0.05327381,0.06960142,0.1026175,0.08179655,0.04506246,0.07926829,0.1381618,0.07331945,0.0615705,0.07495538,0.07421178,0.06216538,0.05517549,0.08491969,0.07822724,0.06142177,0.1011303,0.3090422,0.08982749,0.1582391,0.2273944,0.1223974,0.1418798,0.08953004,0.07168352,0.255354,0.1084176,0.111392,0.1302796,0.1027662,0.3161809,0.08774539,0.05755503,0.1220057,0.261717,0.06308585,0.09284332,0.08897486,0.3167683,0.1380747,0.09061152,0.1124833,0.08346972,0.06353221,0.07513763,0.08986758,0.1062342,0.08213063,0.1295938
7,0.1258397,0.06150172,0.05657561,0.04493208,0.1088222,0.07702642,0.09090909,0.06329303,0.0728467,0.08284818,0.09792507,0.03194506,0.08180325,0.0771757,0.0895656,0.05284371,0.06419827,0.1034637,0.06912511,0.06658704,0.07733652,0.122126,0.0701702,0.05150791,0.07733652,0.07718722,0.05957002,0.05658406,0.08062108,0.07972529,0.06001792,0.08121827,0.1147125,0.06153846,0.05929798,0.04690067,0.1109783,0.078118,0.0648245,0.05347274,0.07737117,0.07513069,0.09962659,0.03330844,0.09380134,0.07841673,0.08946975,0.05302465,0.06974313,0.1027479,0.08154122,0.04510155,0.07900239,0.1382915,0.07332736,0.06137993,0.07497013,0.07482079,0.0619773,0.05495818,0.08527479,0.07840502,0.06152927,0.1009558,0.3090501,0.08930441,0.1585639,0.2273747,0.1222139,0.1416604,0.08915482,0.07150336,0.2541511,0.1084518,0.1114435,0.1302917,0.1030666,0.3145849,0.08735976,0.05744204,0.1221226,0.2630792,0.06292975,0.09252616,0.08908819,0.3176383,0.1379671,0.09058296,0.1124066,0.08295964,0.06307922,0.0754858,0.09043349,0.1052317,0.08236174,0.1303438
8,0.1111944,0.06099206,0.05634647,0.04480743,0.1116439,0.07672711,0.09216245,0.06368949,0.07283081,0.08302113,0.0980069,0.03191968,0.08167241,0.07717668,0.08931515,0.05454818,0.06476761,0.104048,0.06956521,0.06656671,0.07811095,0.1229385,0.07031484,0.05142429,0.07811095,0.07796102,0.05997001,0.05667166,0.08125937,0.0802099,0.06071964,0.08155922,0.1151424,0.06131934,0.05937032,0.04707646,0.1113943,0.07796102,0.06536732,0.05382309,0.07826087,0.07511245,0.09970015,0.03328336,0.09430285,0.0784108,0.08965518,0.05307346,0.06943611,0.1022795,0.08128374,0.04469106,0.07888422,0.1381224,0.07333533,0.06118776,0.07543492,0.07438512,0.06193761,0.05488902,0.0854829,0.07768446,0.06133773,0.1009298,0.3091236,0.08928572,0.1584634,0.227491,0.122449,0.1422569,0.0897359,0.07202881,0.2546519,0.1086435,0.1117947,0.1305522,0.1032413,0.3155762,0.08733493,0.05762305,0.1229176,0.2647456,0.06348491,0.09215068,0.08914904,0.3184752,0.1383761,0.09019961,0.1133123,0.08329581,0.06303467,0.07549152,0.09019961,0.1061084,0.08209515,0.1307219
9,0.1050572,0.06110777,0.0564419,0.04455148,0.1113787,0.07676098,0.09331728,0.06321493,0.07375075,0.08293197,0.09828416,0.03190849,0.0820289,0.07736304,0.089705,0.05418423,0.06487056,0.1038531,0.06908489,0.06682722,0.07796508,0.1231186,0.07013847,0.0513245,0.07811559,0.07826611,0.05930163,0.0564419,0.08142685,0.07992174,0.06035521,0.08127634,0.1153267,0.06157784,0.0596206,0.04682324,0.1117133,0.07813911,0.06549232,0.05254441,0.0788919,0.07512797,0.09981933,0.03357422,0.09454983,0.07844023,0.08988257,0.05284553,0.06957831,0.1027108,0.0810241,0.04457831,0.07906626,0.1385542,0.07349397,0.06159639,0.07575301,0.0746988,0.06204819,0.05512048,0.08569277,0.07786144,0.06114458,0.100753,0.3099292,0.08934759,0.159108,0.2270604,0.1224951,0.1425343,0.08964894,0.07186982,0.2544824,0.1087841,0.1120988,0.1310833,0.1036613,0.3165587,0.08753955,0.0577068,0.1222122,0.26522,0.06344184,0.09252562,0.08905967,0.3188668,0.1392405,0.08981314,0.1128692,0.08333334,0.06314044,0.0753466,0.09026522,0.1059373,0.08212779,0.130651
10,0.1047389,0.06112285,0.05674615,0.04497434,0.1104739,0.07742228,0.09417447,0.06383942,0.07289466,0.0834591,0.09855116,0.03229701,0.08285542,0.07787504,0.08979777,0.05463326,0.06477427,0.1043334,0.06915295,0.0671901,0.07791031,0.122905,0.07036086,0.05163823,0.07866526,0.07791031,0.05933867,0.05677186,0.08168504,0.08017515,0.06009361,0.08168504,0.1161631,0.06193354,0.05951662,0.04728097,0.1123867,0.07870091,0.06570997,0.05302115,0.0794562,0.07522658,0.09984894,0.03383686,0.07477342,0.07824773,0.08987916,0.05347432,0.06950741,0.1030523,0.08068903,0.0447265,0.07948021,0.1385615,0.07343608,0.06180115,0.07615594,0.07464491,0.06195225,0.05530372,0.08582653,0.07691146,0.06165005,0.1007857,0.3099955,0.08997429,0.159383,0.2272796,0.1227884,0.1421443,0.08952064,0.05564797,0.2537426,0.1090277,0.112052,0.1309542,0.1040375,0.3164978,0.08770604,0.05791622,0.1228256,0.2663742,0.06337921,0.0933293,0.09015278,0.3196188,0.1390107,0.08954772,0.1135985,0.0834972,0.06307669,0.07563152,0.09075782,0.1073968,0.08243836,0.1311451
