# File test_mc.csv
# Generated by data_dfs_to_azcsv
# February 12, 2018
# Dataset MC_Actin (81, 96)
Step1Channel1   MC_Actin
Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
55.0,17242.9344802683,16043.254760836298,16541.016520078898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16439.6380322864,17362.201903926798,17037.6476853164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17386.9432124408,18303.03963961,17813.3859659261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14913.923615920101,16440.636621135,16355.639188750902,17905.7571178073,17757.5891674768,18479.808855078,NaN,NaN,NaN,NaN,NaN,NaN,16276.7389188191,17265.7235257791,18039.690016848897,18508.454323513302,19218.829634606398,19894.4919445065,NaN,NaN,NaN,NaN,NaN,NaN,14944.9041278321,17310.4451139084,17437.2344713541,17807.9741704872,18292.7322209392,18577.9155983995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55.5,17138.1418073931,15948.291342696399,16439.8801829527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16340.1863116,17242.980660305402,16922.8764968341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17280.158703118,18177.8620568379,17693.4612854595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14836.1402011621,16336.987261844699,16252.2930536031,17784.4119951146,17643.9017585733,18360.6696281627,NaN,NaN,NaN,NaN,NaN,NaN,16187.400544645701,17154.4752861279,17920.7218802793,18382.117761915702,19087.7529021168,19759.9167214966,NaN,NaN,NaN,NaN,NaN,NaN,14868.5761084733,17198.7968508962,17320.3585081624,17686.1303027578,18190.694157828202,18446.8824007621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56.0,17033.3491345179,15853.3279245566,16338.743845826599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16240.7345909136,17123.759416684,16808.105308351798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17173.3741937952,18052.6844740658,17573.536604993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14758.356786404,16233.3379025544,16148.9469184553,17663.0668724219,17530.2143496697,18241.5304012474,NaN,NaN,NaN,NaN,NaN,NaN,16098.0621704723,17043.2270464768,17801.753743709698,18255.7812003181,18956.6761696272,19625.3414984866,NaN,NaN,NaN,NaN,NaN,NaN,14792.248089114499,17087.148587884098,17203.4825449706,17564.2864350285,18088.6560947172,18315.8492031247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56.5,16928.556461642802,15758.3645064167,16237.607508700401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16141.2828702273,17004.5381730626,16693.334119869498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17066.5896844725,17927.506891293702,17453.611924526398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14680.573371645902,16129.688543264,16045.6007833075,17541.7217497292,17416.5269407662,18122.3911743321,NaN,NaN,NaN,NaN,NaN,NaN,16008.723796298898,16931.978806825602,17682.7856071401,18129.4446387205,18825.5994371376,19490.7662754767,NaN,NaN,NaN,NaN,NaN,NaN,14715.9200697557,16975.500324872,17086.6065817789,17442.4425672991,17986.618031606202,18184.8160054873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57.0,16823.7637887676,15663.4010882769,16136.4711715743,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16041.831149540902,16885.316929441102,16578.5629313871,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16959.8051751497,17802.3293085216,17333.6872440599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14602.7899568878,16026.0391839737,15942.2546481597,17420.376627036498,17302.8395318627,18003.2519474168,NaN,NaN,NaN,NaN,NaN,NaN,15919.3854221255,16820.730567174498,17563.8174705705,18003.1080771229,18694.5227046481,19356.1910524668,NaN,NaN,NaN,NaN,NaN,NaN,14639.5920503969,16863.8520618599,16969.7306185871,17320.5986995698,17884.5799684953,18053.7828078499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57.5,16718.9711158925,15568.4376701369,16035.3348344482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15942.3794288545,16766.0956858196,16463.7917429049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16853.020665827098,17677.1517257495,17213.7625635932,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14525.0065421296,15922.389824683301,15838.9085130119,17299.0315043439,17189.152122959,17884.1127205015,NaN,NaN,NaN,NaN,NaN,NaN,15830.047047951899,16709.4823275234,17444.8493340007,17876.7715155253,18563.4459721587,19221.615829456397,NaN,NaN,NaN,NaN,NaN,NaN,14563.264031038101,16752.2037988478,16852.854655395302,17198.7548318404,17782.5419053843,17922.7496102125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.0,16614.1784430174,15473.4742519971,15934.198497322099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15842.927708168101,16646.8744421981,16349.020554422601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16746.2361565044,17551.9741429774,17093.837883126598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14447.223127371499,15818.7404653929,15735.562377864098,17177.6863816512,17075.4647140554,17764.9734935862,NaN,NaN,NaN,NaN,NaN,NaN,15740.708673778501,16598.2340878723,17325.881197431,17750.4349539277,18432.3692396691,19087.0406064465,NaN,NaN,NaN,NaN,NaN,NaN,14486.9360116793,16640.5555358357,16735.978692203502,17076.910964111,17680.5038422734,17791.7164125751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58.5,16504.773401706898,15375.109662623101,15830.6284799978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15740.064442884399,16524.1473904253,16231.712451503601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16637.0560694612,17423.339429408898,16970.6741400986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14359.642885720501,15707.196773941201,15628.378904000701,17053.9547843044,16957.9216367622,17640.2951123296,NaN,NaN,NaN,NaN,NaN,NaN,15639.2849744881,16479.8780733919,17201.3055953535,17620.1305129863,18298.130374464,18949.7087910329,NaN,NaN,NaN,NaN,NaN,NaN,14400.3567564322,16522.2814531351,16614.497791859398,16950.2019940664,17580.2545298343,17656.2016114262,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59.0,16392.721326885,15273.211233003201,15724.4461639856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15634.325947326899,16400.3528730545,16111.985327933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16524.9389189084,17291.909329321697,16845.3284215399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14263.5268391148,15591.029756053898,15516.935657426498,16928.2953819375,16838.6743743291,17514.1762487605,NaN,NaN,NaN,NaN,NaN,NaN,15528.4599997533,16356.036053283899,17072.257459992,17487.8038609161,18161.5225042108,18809.930188463797,NaN,NaN,NaN,NaN,NaN,NaN,14305.745175146001,16397.6658560777,16490.2481638541,16821.1907642446,17471.940255387,17518.7590217846,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59.5,16279.074113002,15168.620277913798,15616.022943021399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15525.8753280945,16273.2131302753,15990.5517224818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16410.4668851487,17158.9884312945,16717.5198415062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14160.7439076746,15469.5542669578,15402.172654536398,16799.977572801898,16717.6513138925,17386.8885750335,NaN,NaN,NaN,NaN,NaN,NaN,15409.1979447177,16226.5611247566,16938.6936927888,17352.5719920905,18023.0182109544,18668.976770193898,NaN,NaN,NaN,NaN,NaN,NaN,14203.6695246097,16267.648317625,16363.1385005278,16689.80221893,17355.9018836412,17380.5818871826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60.0,16161.866890044099,15061.0292067557,15504.817426123998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15414.694707988701,16143.435572248001,15865.529135101298,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16292.811573078201,17022.692248581898,16586.6788658363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14051.5161901479,15343.039477806398,15283.123370203,16669.7051029076,16595.3595853732,17258.673235456397,NaN,NaN,NaN,NaN,NaN,NaN,15282.2767070183,16091.971733453202,16801.7627280394,17214.5590847872,17882.1444619098,18525.5264379351,NaN,NaN,NaN,NaN,NaN,NaN,14094.4673503674,16131.8868677145,16232.5054827084,16556.258571437098,17232.0095675167,17240.8216861496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60.5,16042.454308389499,14951.8838665197,15390.983068563999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15302.3749653377,16012.2373505384,15739.9525585485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16173.1099167949,16885.135942981,16454.3283439412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13936.8987866225,15212.383748648,15162.0244631318,16539.332446033703,16471.5138945967,17129.9279636353,NaN,NaN,NaN,NaN,NaN,NaN,15150.069291522801,15953.527518713201,16662.3129634268,17075.5929153175,17739.5649989482,18381.6811657133,NaN,NaN,NaN,NaN,NaN,NaN,13979.8406931734,15991.4250457298,16099.721777589499,16421.6382344003,17102.463024068602,17101.1794973385,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61.0,15921.3931446991,14840.9046117633,15275.368714709199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15187.750610003,15879.0227268223,15612.6005601491,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16050.2079704645,16745.3414386163,16319.949752152099,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13818.622975895702,15078.1763296346,15039.774318247,16407.6716123204,16347.5747778146,17001.5215985487,NaN,NaN,NaN,NaN,NaN,NaN,15013.9177997789,15811.0751843384,16520.586321843202,16934.892371700702,17594.8708963698,18236.1146991945,NaN,NaN,NaN,NaN,NaN,NaN,13861.5416265648,15846.759688401798,15964.7927141177,16285.9745869587,16965.934212618402,16961.768389136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
