# File test_qa.csv
# Generated by data_dfs_to_azcsv
# February 12, 2018
# Dataset QA_Actin (40, 96)
Step1Channel1   QA_Actin
Cycle,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
1,-16.4569936260768,20.7559225392533,32.2494689587284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.34373864063218,31.910632790461,28.885390777553802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29.315142508590696,46.646032653090494,51.842361253921794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.86425944095026,11.078219623103001,33.592673402295105,52.3646372679186,45.1120960588851,76.3787249793049,NaN,NaN,NaN,NaN,NaN,NaN,23.395854424976303,32.963763274878104,57.46240827337439,50.5609207785865,56.52521959625939,87.1249311254051,NaN,NaN,NaN,NaN,NaN,NaN,6.87735101373255,36.051214529008604,29.9801028754709,50.007513192214006,50.338444097285006,81.2318257144434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,21.395364751280802,16.8960775000378,27.177812667951898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5822165328118,35.1644324977569,35.245894343302105,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27.043128657747697,31.851707538427895,39.8844742550573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.75978819541888,16.0463614346118,24.275350771489702,37.958768106686,29.2159951806916,47.259918739022396,NaN,NaN,NaN,NaN,NaN,NaN,27.2626561991519,29.7618692343021,43.855210724854295,41.4502248744084,34.9677751117406,64.1109409415549,NaN,NaN,NaN,NaN,NaN,NaN,8.50141805479871,30.161831707414397,30.390785085100102,33.1044792165012,33.2559474484733,52.3194556385342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,16.9564533452203,19.808932171587,22.830617954628895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.8611510266237,19.2276157022179,24.9247302488484,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.116353330416104,26.088825686286302,22.4194028949896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.074757588191499,13.888650768471999,12.3159221956275,19.9653708562792,25.4017746246145,33.5627658336507,NaN,NaN,NaN,NaN,NaN,NaN,18.392036460355502,21.077681806168602,32.4179891522399,28.265154128149298,24.3224215198179,43.160621328398506,NaN,NaN,NaN,NaN,NaN,NaN,12.3071335249861,27.8747289991297,17.1049222722486,25.680704364825,24.8907200764288,39.1048577261708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,19.9874177463998,18.581021089685198,16.183275555647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.8369091189625,18.9992743679713,21.1513721410038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20.292791249571604,19.6708337534183,16.3517704518472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14.758907683727601,17.8982393966116,9.82354624729032,23.5584452455314,16.6194262532063,21.5901821092057,NaN,NaN,NaN,NaN,NaN,NaN,16.4902877342411,17.2851140077491,26.768071912684697,18.906759113015102,16.820790586032697,20.1087901525589,NaN,NaN,NaN,NaN,NaN,NaN,8.27865687495705,22.2240380936237,15.783379960910699,15.5109150190083,18.828638940015498,20.1313645148202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,12.8551416243954,10.2135521961336,10.337435921798699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.84594874501727,13.0782985628775,10.9219204514366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.973720164967698,12.947882103684599,13.072108150934598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.50336087799133,4.02846523962216,9.27518143534235,11.9128193968609,3.45916678576577,2.80534566509687,NaN,NaN,NaN,NaN,NaN,NaN,12.2073138519363,13.3724881442386,17.2231799797355,9.350728144045211,8.897095207008528,5.10133630627206,NaN,NaN,NaN,NaN,NaN,NaN,8.86462918008965,14.1277362099199,5.21917417097393,12.820163124621999,8.54424810962337,4.41902573990501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,7.03557282787187,5.947336094512139,5.2399265369304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.43404475680745,7.31389033619871,4.34588639669437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.04868963404624,3.64810270786802,9.448484315305901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.62739732300906,1.7258417534121697,12.499251382457302,9.785886550723259,1.01086573220527,-3.36010074431942,NaN,NaN,NaN,NaN,NaN,NaN,6.7534479866253605,7.790426774993651,15.6724643653833,6.45804611146468,0.9323405071882009,-9.59253895431993,NaN,NaN,NaN,NaN,NaN,NaN,6.87136197131986,8.21103778693941,8.483724074224481,4.828993984400769,-1.85922721705447,-11.019688906867499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,3.0334181753787597,1.64458599660611,2.31432932404732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.27621649414323,-4.06010513547608,-2.80526363669196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.37375266862909495,0.17525407093035,-1.27067185092346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.46522782338889,3.6972567557486404,7.17987406551219,5.95163735320693,-5.456651918625539,-20.170538589052697,NaN,NaN,NaN,NaN,NaN,NaN,3.94585316493794,2.5392603002401297,5.512032405197719,-0.401578703926134,-5.1891132304163,-23.665086776785802,NaN,NaN,NaN,NaN,NaN,NaN,6.51293427328528,6.16408291493008,1.0237331792395699,0.274275377442791,-11.695191656221098,-21.1832269513861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,-4.23266560471802,-8.197657471598179,-8.65971486326816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2969840738924199,-0.267754311770659,-8.43490144040697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.86620021701492,-6.27266765124295,-8.31359585064092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6363576311878196,3.5757413622486602,-3.1375474042288305,-10.24220056389,-12.822411354794,-20.8283276510474,NaN,NaN,NaN,NaN,NaN,NaN,3.5264218845786695,-0.9275705747113531,0.160501331197338,-2.8611144082760798,-11.7611637216532,-27.395837366621,NaN,NaN,NaN,NaN,NaN,NaN,3.6644547893438397,1.4035012049607802,-4.74509182996098,-1.07791345847727,-10.0183345220348,-23.410803120451398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,-4.80488723170311,-4.44179735042871,-4.05454321629986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-9.67015666503357,-1.8888791911122098,-6.43760393068169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.38862369791332,-8.95819949713132,-5.59767263330104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.951356668749209,-6.49373440184718,-3.5273347140300797,-8.76537896843547,-18.4884405843068,-17.408092328703802,NaN,NaN,NaN,NaN,NaN,NaN,-0.874533836338742,-0.8818171743214409,-2.83605807199365,-10.6550102078791,-23.6543333831278,-21.6577897567713,NaN,NaN,NaN,NaN,NaN,NaN,5.789103625262211,4.70564622760776,-2.46491465492727,-9.17194601914525,-15.9238217495367,-17.0771065964691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,-7.65197662342234,-11.7711426827282,-11.044367695608301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.848054531389611,-14.4488698200248,-10.1729292821874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-11.3680140495435,-12.840946554001698,-13.9259912948364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.62911985983919,-2.13048783429531,-7.70327791012915,-17.3346856548587,-15.9661069485546,6.99213326326753,NaN,NaN,NaN,NaN,NaN,NaN,-2.98808315243514,-6.12088005054193,-9.26365228106715,-14.899926885796999,-20.574797124906603,6.230041461506519,NaN,NaN,NaN,NaN,NaN,NaN,3.62707310119458,0.13203712388804,-2.59178323010656,-14.5570383405993,-20.726354282092,5.13621341569797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
