# Azure-data-example-2018-04-10.csv
# 4/10/18 RTK
# Data originally from 033018r1_qual1_analysis.xlsx
Step2Channel1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12
1,0.04606949,0.02795161,0.02503129,0.02306454,0.04654628,0.06055188,0.04362596,0.03784493,0.04988378,0.04511592,0.03504381,0.01841588,0.06728649,0.04898981,0.02705763,0.02294535,0.03253732,0.03677612,0.02973134,0.03456716,0.03808955,0.06549254,0.04334328,0.02071642,0.04214925,0.04364179,0.02202985,0.009373134,0.05725373,0.03886567,0.02197015,0.02543284,0.0387583,0.03032478,0.02033614,0.02021652,0.03642562,0.04186853,0.02236976,0.02117351,0.04605539,0.03636581,0.02219032,0.00903164,0.05646271,0.02906872,0.02081464,0.02045577,0.02157756,0.01690242,0.01858068,0.008930712,0.05670103,0.04135699,0.02067849,0.01462479,0.03218653,0.0291297,0.01840086,0.006713018,0.05166627,0.03104771,0.01786142,0.02835052,0.02161903,0.01633437,0.01459284,0.01429258,0.02858515,0.0389743,0.01969733,0.01657459,0.03194812,0.02612299,0.0178357,0.005224598,0.05032428,0.02732405,0.01837617,0.01435263,0.05099338,0.03130644,0.02516556,0.02167369,0.04069838,0.06351595,0.03148706,0.02480434,0.04948826,0.0512342,0.02968092,0.0166165,0.06315473,0.04647803,0.02925948,0.02805539
2,0.03643847,0.02536166,0.02100357,0.01749289,0.03783064,0.05604988,0.04122027,0.02808547,0.0394044,0.0394044,0.02312209,0.0112584,0.05907633,0.04122027,0.02511954,0.01265057,0.02745954,0.02994484,0.03030854,0.02685337,0.03873432,0.06092017,0.03721889,0.01800327,0.03818876,0.04255319,0.02139783,0.009274414,0.06007153,0.04097715,0.02230709,0.019155,0.03216019,0.02973301,0.01966019,0.02196602,0.0375,0.04296117,0.02487864,0.01662621,0.04114078,0.03628641,0.02166262,0.008313106,0.06080097,0.02930825,0.02075243,0.01966019,0.02151453,0.01695636,0.01853653,0.008690896,0.05658199,0.04254285,0.02096754,0.01367449,0.03215024,0.02929379,0.01823265,0.006381427,0.05299623,0.0312386,0.01774644,0.02868603,0.02147986,0.0164902,0.01460387,0.01442132,0.02926859,0.04034319,0.01977607,0.01667275,0.03158087,0.02726056,0.0170987,0.004807107,0.05099184,0.02756481,0.01770719,0.01375198,0.03664411,0.03201024,0.02621791,0.0229864,0.04097311,0.05999634,0.03170538,0.02176697,0.04493628,0.04426559,0.02384001,0.01195049,0.05719164,0.04322907,0.02438876,0.02201085
3,0.03711643,0.025908,0.02106939,0.0173945,0.04109757,0.0572671,0.04287377,0.02609175,0.03895388,0.0399951,0.02358057,0.01120843,0.05426594,0.04103632,0.02560176,0.01212715,0.02765683,0.03053903,0.03207212,0.02771816,0.03992151,0.06187527,0.0375299,0.01851965,0.03869504,0.043049,0.02268964,0.01073159,0.061446,0.04311032,0.02373214,0.0196848,0.03236306,0.03131909,0.02124785,0.02327438,0.03954802,0.04409236,0.02665193,0.01701056,0.04151314,0.03825841,0.0227831,0.009457136,0.06208548,0.02978384,0.02130926,0.02075657,0.02193953,0.01733038,0.01886676,0.009033923,0.05721485,0.04363323,0.02187807,0.01407325,0.03263274,0.02999017,0.01862094,0.006698623,0.05389626,0.03183382,0.0181293,0.02931416,0.02161064,0.01680828,0.01496121,0.01489964,0.02967615,0.04131265,0.02019456,0.01699298,0.03170792,0.02826007,0.01717769,0.005048639,0.0516562,0.02776752,0.01785494,0.01391454,0.0359588,0.03281317,0.02763215,0.02399309,0.04225004,0.06087707,0.03349164,0.0222044,0.04440881,0.04360698,0.0236847,0.009745266,0.05717634,0.04477888,0.02411645,0.02115586
4,0.03752554,0.02675088,0.02167317,0.01789585,0.04272711,0.05870333,0.04464673,0.02507895,0.0392594,0.04080748,0.02396433,0.01120812,0.0530683,0.04148864,0.02588396,0.01232274,0.02813933,0.03105244,0.03235403,0.02776745,0.04059749,0.06303459,0.03718854,0.01927606,0.0396058,0.04369654,0.02349076,0.01165241,0.06204289,0.04388249,0.02417256,0.01995785,0.03315329,0.03166325,0.0224747,0.02346806,0.04066555,0.04513565,0.02706898,0.01763209,0.04240393,0.03954802,0.02390265,0.01018191,0.06245732,0.02986279,0.02191594,0.02129509,0.02186607,0.01739346,0.01913281,0.008945211,0.05714996,0.04478817,0.02217667,0.01379053,0.03267487,0.03050068,0.01876009,0.006708908,0.05435458,0.03199155,0.01826314,0.03019009,0.02152411,0.01685848,0.01530327,0.01493002,0.03010887,0.04230171,0.02040435,0.01685848,0.0348367,0.02923795,0.01716952,0.004790047,0.05206843,0.02780715,0.01804044,0.01362364,0.0363999,0.03309648,0.02798554,0.02412117,0.0429444,0.06182997,0.03459237,0.02299925,0.04444029,0.04369235,0.02399651,0.01022189,0.05721765,0.04705809,0.02443281,0.02100474
5,0.03684244,0.02708451,0.02070432,0.01695127,0.04466129,0.06048664,0.04422343,0.02351911,0.03903171,0.0418465,0.02258085,0.01000813,0.05979859,0.04153375,0.02451992,0.0113217,0.02788221,0.03095238,0.03170426,0.02694236,0.04072682,0.06478697,0.03640351,0.01867168,0.03947368,0.04473684,0.02337093,0.01121554,0.06290727,0.04417293,0.02349624,0.01929825,0.03316407,0.0312833,0.02238104,0.02231835,0.04106326,0.047019,0.02601718,0.01705222,0.04244248,0.04106326,0.02363488,0.009529183,0.06313084,0.02990408,0.02125259,0.02056297,0.02089215,0.01700232,0.01800615,0.00777966,0.05721815,0.04648974,0.02126859,0.01242236,0.03187151,0.03155781,0.0174415,0.005270092,0.05495953,0.03243616,0.01693958,0.03061673,0.02042997,0.01640684,0.0140181,0.01345235,0.02985919,0.04381443,0.01904702,0.01527533,0.03557958,0.03073925,0.01584109,0.003205934,0.0526779,0.02759618,0.01640684,0.01219512,0.03619084,0.03298087,0.02712739,0.02322507,0.04330312,0.06350705,0.03379909,0.02259567,0.04393253,0.04500252,0.02303625,0.007741692,0.05689829,0.04890483,0.0237286,0.02014099
6,0.03639121,0.02798837,0.02059641,0.01648976,0.0446045,0.06210513,0.04409907,0.02287086,0.03936063,0.04315138,0.02192317,0.009350518,0.06065201,0.04176144,0.02413445,0.01067728,0.02795522,0.03086459,0.03130732,0.02599456,0.04079438,0.06590348,0.03560812,0.01821517,0.03971918,0.04560116,0.02321169,0.01056227,0.06356334,0.04433622,0.02270571,0.0186579,0.03312433,0.03122427,0.022104,0.02153398,0.04104123,0.04851479,0.02546076,0.01710051,0.04268795,0.04230794,0.0233707,0.009246944,0.06377858,0.0300209,0.02096396,0.02020394,0.020729,0.0170523,0.01762282,0.007226625,0.05768621,0.04767036,0.02117274,0.0118542,0.03207607,0.03270999,0.01698891,0.004754358,0.05622821,0.03309033,0.01641838,0.03131537,0.01993777,0.01663598,0.01358816,0.01320719,0.02997016,0.04527272,0.02076322,0.01479459,0.03600229,0.03251,0.01517557,0.002539844,0.05340021,0.02793828,0.01574703,0.01168328,0.03627931,0.03303895,0.0266853,0.02223775,0.04314124,0.06442595,0.03405553,0.02236483,0.04384014,0.04619099,0.02312726,0.008386809,0.05883474,0.05006671,0.02338141,0.01950569
7,0.03748727,0.02864053,0.02144857,0.0174389,0.04525204,0.06396385,0.0450611,0.02412169,0.04041497,0.0428335,0.02259419,0.01024694,0.0609725,0.0421334,0.02494908,0.01145621,0.02918127,0.03109271,0.03198471,0.0266964,0.0411596,0.06753743,0.03657216,0.01949666,0.04064989,0.04523734,0.02440268,0.01140491,0.06358713,0.04466391,0.02370181,0.01936923,0.03443438,0.03175616,0.02333886,0.02257365,0.04157633,0.05012116,0.02652723,0.01900268,0.04387195,0.042214,0.02474174,0.01026655,0.06395868,0.0302895,0.02257365,0.02142584,0.02170167,0.01742516,0.01870173,0.008233868,0.05802004,0.04921172,0.02253143,0.01282951,0.03280781,0.03242484,0.0181911,0.005808387,0.05655199,0.03350993,0.01748899,0.03293547,0.02078138,0.01720059,0.01425922,0.01393951,0.03030884,0.04655029,0.02174052,0.01553808,0.03676706,0.03267472,0.01598568,0.003325021,0.0534561,0.02807085,0.01649722,0.01387557,0.037492,0.03346129,0.0275112,0.02290467,0.04337812,0.06577095,0.03480486,0.02367242,0.04472169,0.0459373,0.02418426,0.009596929,0.0600128,0.05035189,0.02450416,0.02047345
8,0.03821983,0.02892138,0.02173913,0.01757086,0.04533795,0.06534564,0.04533795,0.02424009,0.04078492,0.0430935,0.02250866,0.009939721,0.06149801,0.04206746,0.02475311,0.01115814,0.02959872,0.03120385,0.03197432,0.02677368,0.04109149,0.06850722,0.0365329,0.01977528,0.04070626,0.04552167,0.02439807,0.01149278,0.06414125,0.04487962,0.02369181,0.01951846,0.03520946,0.03199692,0.02345156,0.02242354,0.04202005,0.05185042,0.0267926,0.0195965,0.04439733,0.04272681,0.02492932,0.01117965,0.06463634,0.03090465,0.0231303,0.02120277,0.02180625,0.01762511,0.01846134,0.007976328,0.05821433,0.05036665,0.02277113,0.01247909,0.03261289,0.03293452,0.01801106,0.005596295,0.05724945,0.03383507,0.01736781,0.03312749,0.02074341,0.01732912,0.01436578,0.01385042,0.03053533,0.04773562,0.0219674,0.01552535,0.03710623,0.033241,0.01604071,0.003156606,0.05411325,0.02834504,0.0166205,0.01385042,0.03785875,0.03353757,0.02715253,0.02283134,0.04340535,0.06681716,0.03495647,0.02405676,0.04482425,0.04643663,0.02431474,0.009416318,0.06036763,0.05056433,0.02463721,0.02057401
9,0.03941332,0.02933385,0.02190347,0.0177683,0.04548685,0.06629191,0.04568069,0.02468179,0.04115785,0.04290237,0.02242037,0.0102087,0.06228597,0.04225625,0.0247464,0.01188861,0.03001876,0.03111859,0.03215372,0.02671929,0.04134049,0.06935369,0.03668241,0.01979686,0.04108171,0.04548101,0.02451964,0.01158051,0.0647603,0.04496345,0.02387268,0.01934399,0.03567497,0.03166073,0.02330851,0.02220783,0.04189058,0.0525089,0.02654581,0.01981224,0.04454516,0.04253804,0.02479767,0.01191324,0.06500486,0.03075429,0.02343801,0.0211719,0.02189687,0.01749158,0.01865768,0.007903602,0.05824048,0.05111428,0.02299819,0.01250324,0.03265095,0.03291008,0.0182042,0.005571391,0.05778699,0.0340114,0.01755636,0.03342835,0.02102667,0.01758713,0.01440716,0.01421247,0.03063145,0.04867285,0.02187034,0.01557531,0.03751054,0.03348693,0.01609449,0.003309754,0.05477319,0.02855474,0.01654877,0.01408268,0.03826663,0.03339397,0.02735187,0.02280405,0.04320426,0.0675026,0.03514813,0.02442827,0.04489345,0.04632277,0.02462318,0.009225572,0.06107068,0.0502209,0.02475312,0.02079002
10,0.04000521,0.02938494,0.02221788,0.01785249,0.0456737,0.06717487,0.04619494,0.02469377,0.04150378,0.04313266,0.0224785,0.009968726,0.06267918,0.04222048,0.02482408,0.01192338,0.03045718,0.03117459,0.03228331,0.02693537,0.04141394,0.070045,0.03665297,0.02021783,0.04141394,0.04539229,0.02452227,0.01160895,0.06541447,0.04513142,0.02380487,0.0194352,0.03597545,0.03179681,0.02330896,0.02219901,0.04198224,0.05386524,0.02663881,0.01997911,0.04485505,0.04270044,0.02474536,0.01175242,0.06555236,0.03081745,0.0237007,0.02108906,0.02195504,0.01731573,0.01862258,0.007775745,0.05854679,0.05207789,0.02339258,0.01241506,0.0326712,0.03293257,0.01823053,0.005488761,0.05835076,0.03417407,0.01751176,0.03365133,0.02100236,0.01786182,0.01452499,0.01413243,0.03081654,0.04952892,0.0220492,0.01563727,0.03768647,0.0337608,0.01609526,0.003336823,0.05548286,0.02852656,0.01661869,0.01426328,0.03856479,0.03313036,0.02710666,0.02265436,0.04334446,0.06822497,0.03502914,0.02455313,0.04498134,0.04629084,0.02474956,0.008839128,0.0613501,0.05028482,0.02468408,0.02082106
